SRA acc,Biosample acc,Bioproject acc,Taxonomia acc,Instrumento,Amostras,Bases,Tamanho,Organismo,Estratégia,Recurso,Seleção,Protocolo,Criação
SRR36576935,SAMN54271171,PRJNA1392774,7160,NextSeq 1000,18019570,2.2,742.99,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576936,SAMN54271170,PRJNA1392774,7160,NextSeq 1000,22238507,2.7,892.73,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576937,SAMN54271169,PRJNA1392774,7160,NextSeq 1000,10130987,1.2,405.62,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576938,SAMN54271168,PRJNA1392774,7160,NextSeq 1000,16132533,2.0,647.84,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576939,SAMN54271159,PRJNA1392774,7160,NextSeq 1000,27748186,3.4,1074.99,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576940,SAMN54271158,PRJNA1392774,7160,NextSeq 1000,14353296,1.8,558.43,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576941,SAMN54271195,PRJNA1392774,7160,NextSeq 1000,25124517,3.1,1047.88,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576942,SAMN54271194,PRJNA1392774,7160,NextSeq 1000,32714010,4.0,1330.23,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576943,SAMN54271193,PRJNA1392774,7160,NextSeq 1000,9952070,1.2,414.29,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576944,SAMN54271192,PRJNA1392774,7160,NextSeq 1000,9744526,1.2,390.17,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
SRR36576945,SAMN54271191,PRJNA1392774,7160,NextSeq 1000,59533256,7.3,2372.39,Aedes albopictus,RNA-Seq,Transcriptomic,Cdna,,2026/04/10
